DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19,ESTACAO_CODIGO,ESTACAO_NOME,ANO,Data,Hora UTC,RADIACAO GLOBAL (Kj/m²)
2015-01-01,00:00,0,"886,8","886,8","886,2",,"20,1","15,7","20,9",20,"16,6","15,4",80.0,72.0,76.0,84.0,1,",5",,A001,BRASILIA,2015,,,
2015-01-01,01:00,0,"887,5","887,6","886,8",,"19,8",16,"20,1","19,2",16,"15,4",80.0,76.0,79.0,20.0,"1,1",",4",,A001,BRASILIA,2015,,,
2015-01-01,02:00,0,"888,1","888,1","887,5",,"18,6","15,7",20,"18,5","16,3","15,5",84.0,78.0,84.0,284.0,"1,5",1,,A001,BRASILIA,2015,,,
2015-01-01,03:00,0,"887,8","888,2","887,8",,"18,6","15,9","19,5","18,6","16,1","15,6",84.0,80.0,84.0,265.0,"1,3",",7",,A001,BRASILIA,2015,,,
2015-01-01,04:00,0,"887,1","887,9","887,1",,"19,3",16,"19,5","18,6","16,4","15,9",84.0,81.0,81.0,110.0,",9",",2",,A001,BRASILIA,2015,,,
2015-01-01,05:00,0,"886,6","887,1","886,6",,"18,9","16,1","19,3","18,4","16,1","15,5",85.0,80.0,83.0,247.0,",9",",5",,A001,BRASILIA,2015,,,
2015-01-01,06:00,0,"886,3","886,6","886,2",,"18,5","16,7","18,9","18,2","17,2","15,7",92.0,83.0,89.0,43.0,"1,1",",6",,A001,BRASILIA,2015,,,
2015-01-01,07:00,0,"886,5","886,5","886,2",,"17,8","15,3","19,5","17,8","16,8","15,1",90.0,79.0,85.0,277.0,"1,9","1,4",,A001,BRASILIA,2015,,,
2015-01-01,08:00,0,"886,9","886,9","886,5",,"17,3","16,5","17,8","16,9","16,5","15,2",96.0,85.0,95.0,301.0,"1,9",1,,A001,BRASILIA,2015,,,
2015-01-01,09:00,0,"887,3","887,3","886,8","18,1","18,1","16,5","18,4","17,2","16,8",16,95.0,88.0,90.0,2.0,"1,5",",6",,A001,BRASILIA,2015,,,
2015-01-01,10:00,0,"887,9","887,9","887,3","461,6",22,"16,1","22,1","18,1","18,1","16,1",92.0,69.0,69.0,358.0,"2,3","1,4",,A001,BRASILIA,2015,,,
2015-01-01,11:00,0,"888,4","888,4","887,9","1224,6","24,2","15,9","24,2",22,"17,2","15,4",72.0,59.0,60.0,355.0,"2,9","1,4",,A001,BRASILIA,2015,,,
2015-01-01,12:00,0,"888,6","888,6","888,4","2164,2","25,9","15,9","26,1","24,2",17,"15,1",62.0,52.0,54.0,12.0,"4,4","2,1",,A001,BRASILIA,2015,,,
2015-01-01,13:00,0,"888,7","888,7","888,6","2634,9","26,9","15,4","26,9","25,4","16,7","14,8",56.0,49.0,50.0,29.0,"7,7","3,6",,A001,BRASILIA,2015,,,
2015-01-01,14:00,0,"888,4","888,7","888,3","3343,6","27,8","15,2","28,1","25,7","17,2","13,9",55.0,42.0,46.0,9.0,"7,7","3,5",,A001,BRASILIA,2015,,,
2015-01-01,15:00,0,"887,9","888,4","887,9","3553,6",28,"13,9","28,7","27,3",15,"12,5",46.0,38.0,42.0,6.0,"8,4","4,2",,A001,BRASILIA,2015,,,
2015-01-01,16:00,0,"887,4","887,9","887,4","3240,4",29,"15,2","29,3","27,3","15,4","11,9",45.0,37.0,43.0,15.0,"7,7","3,7",,A001,BRASILIA,2015,,,
2015-01-01,17:00,0,"886,6","887,4","886,6","2874,2","28,4","14,5","29,8","27,4",15,"11,7",45.0,33.0,43.0,14.0,"6,6","3,1",,A001,BRASILIA,2015,,,
2015-01-01,18:00,0,"885,8","886,6","885,8","3262,2","29,6","13,6","30,4","28,4","15,2","12,5",44.0,35.0,37.0,11.0,"6,1","2,6",,A001,BRASILIA,2015,,,
2015-01-01,19:00,0,"885,1","885,8","885,1","1964,9","29,2","11,5","30,3","27,9","14,9","11,2",43.0,32.0,33.0,49.0,6,"2,9",,A001,BRASILIA,2015,,,
2015-01-01,20:00,0,"884,9","885,1","884,9","1309,8","28,2","10,5","29,9","28,2","12,3","10,2",35.0,31.0,33.0,22.0,"6,8","2,1",,A001,BRASILIA,2015,,,
2015-01-01,21:00,0,"884,9","884,9","884,6","583,3","27,5","9,1","29,1","27,5","10,9","9,1",35.0,30.0,32.0,53.0,"4,8","2,3",,A001,BRASILIA,2015,,,
2015-01-01,22:00,0,"885,7","885,7","884,9","43,1","25,6","9,4","27,5","25,6","9,6","8,6",36.0,31.0,36.0,32.0,"4,9","1,5",,A001,BRASILIA,2015,,,
2015-01-01,23:00,0,"886,3","886,3","885,7",,"24,5",11,"25,6","24,1",11,"9,3",43.0,36.0,43.0,37.0,3,"1,3",,A001,BRASILIA,2015,,,
2015-01-02,00:00,0,"886,8","886,8","886,3",,"23,4",13,"24,4","23,3",13,"10,9",52.0,43.0,52.0,40.0,"3,5","1,3",,A001,BRASILIA,2015,,,
2015-01-02,01:00,0,"887,4","887,4","886,8",,"20,5","13,6","23,5","20,5","13,9",13,65.0,52.0,65.0,2.0,"2,3","1,4",,A001,BRASILIA,2015,,,
2015-01-02,02:00,0,"887,5","887,6","887,4",,"20,2","13,4","20,7","19,6","14,1","13,3",70.0,65.0,65.0,314.0,"2,4","1,6",,A001,BRASILIA,2015,,,
2015-01-02,03:00,0,"887,1","887,5",887,,"19,7","14,2","20,5","19,5","14,3","13,5",71.0,65.0,71.0,315.0,"2,4","1,1",,A001,BRASILIA,2015,,,
2015-01-02,04:00,0,"886,6","887,1","886,6",,"20,3","14,3","20,3","18,9","14,5",14,74.0,69.0,69.0,306.0,"2,2","1,3",,A001,BRASILIA,2015,,,
2015-01-02,05:00,0,"886,2","886,6","886,2",,"20,2","14,5","20,5","19,5","14,6",14,71.0,68.0,70.0,287.0,"3,3","1,5",,A001,BRASILIA,2015,,,
2015-01-02,06:00,0,886,"886,2",886,,"18,9","15,1","20,2","18,9","15,1","14,3",78.0,69.0,78.0,257.0,"2,3",",8",,A001,BRASILIA,2015,,,
2015-01-02,07:00,0,"885,9",886,"885,8",,"18,5","15,3","19,2","18,5","15,5","15,1",81.0,78.0,81.0,296.0,"1,9","1,2",,A001,BRASILIA,2015,,,
2015-01-02,08:00,0,"886,2","886,2","885,9",,"17,9","16,3","18,7","17,9","16,3","15,3",90.0,81.0,90.0,310.0,"1,9",",9",,A001,BRASILIA,2015,,,
2015-01-02,09:00,0,"886,9","886,9","886,2","5,9","18,1","15,7","18,4","17,8","16,7","15,5",92.0,84.0,86.0,346.0,"1,8",",4",,A001,BRASILIA,2015,,,
2015-01-02,10:00,0,"887,6","887,6","886,9","405,1","22,9","16,8",23,"18,1","17,2","15,8",86.0,68.0,69.0,225.0,"2,8","1,5",,A001,BRASILIA,2015,,,
2015-01-02,11:00,0,"888,2","888,2","887,5","1267,6","24,8","17,2",25,"22,9","17,6","16,7",70.0,61.0,63.0,216.0,"3,4","2,1",,A001,BRASILIA,2015,,,
2015-01-02,12:00,0,"888,6","888,6","888,2","2110,6","26,4","16,4","26,8","24,7","17,7","15,8",63.0,53.0,54.0,171.0,"3,9","1,6",,A001,BRASILIA,2015,,,
2015-01-02,13:00,0,"888,3","888,6","888,3","2754,5","27,6","14,4","28,9","26,2",17,"14,2",54.0,42.0,45.0,110.0,"3,7","1,6",,A001,BRASILIA,2015,,,
2015-01-02,14:00,0,"888,2","888,4","888,2","1488,7","28,4","14,7","28,4","26,9","16,6","13,8",53.0,43.0,43.0,258.0,"5,1",1,,A001,BRASILIA,2015,,,
2015-01-02,15:00,0,"887,7","888,3","887,7","2204,9","28,4",13,"30,2","27,3","15,4","11,9",47.0,35.0,39.0,136.0,"5,3","1,1",,A001,BRASILIA,2015,,,
2015-01-02,16:00,0,"887,3","887,7","887,3","744,2","27,5","16,4","28,5","27,2","16,6","11,2",51.0,34.0,51.0,273.0,"3,9",1,,A001,BRASILIA,2015,,,
2015-01-02,17:00,0,887,"887,5",887,"1132,3","25,8","16,1","27,5","23,8",17,"15,3",63.0,48.0,55.0,268.0,"7,4","2,8",,A001,BRASILIA,2015,,,
2015-01-02,18:00,0,"886,6","887,1","886,6",880,"23,5","16,6","26,5","23,5","16,9","15,6",66.0,51.0,65.0,263.0,"6,7","2,7",,A001,BRASILIA,2015,,,
2015-01-02,19:00,0,"885,7","886,6","885,6","467,2",24,"16,4","24,3","23,5",17,"14,7",66.0,55.0,63.0,282.0,"5,4",2,,A001,BRASILIA,2015,,,
2015-01-02,20:00,0,"885,6","885,8","885,6","1628,6","27,7","15,1","27,8",24,"17,9","14,1",68.0,44.0,46.0,276.0,"4,4","2,1",,A001,BRASILIA,2015,,,
2015-01-02,21:00,0,"885,6","885,7","885,1","884,7","26,3","15,6","27,8","26,3","15,8","14,4",52.0,44.0,52.0,310.0,"4,4",2,,A001,BRASILIA,2015,,,
2015-01-02,22:00,0,"886,2","886,3","885,6","34,5","23,3","17,9","26,3","22,9","18,9","15,4",77.0,52.0,72.0,22.0,"6,5","2,3",,A001,BRASILIA,2015,,,
2015-01-02,23:00,0,"886,8","886,8","886,1",,"23,7","16,5","23,8","22,7","17,8","16,1",72.0,62.0,64.0,144.0,"6,5",",9",,A001,BRASILIA,2015,,,
2015-01-03,00:00,0,"887,4","887,5","886,8",,"21,3","17,1","23,7","21,3","17,4",16,77.0,63.0,77.0,336.0,2,"1,1",,A001,BRASILIA,2015,,,
2015-01-03,01:00,0,888,888,"887,4",,"21,7","16,8","22,9","21,1","17,9","16,8",79.0,70.0,74.0,63.0,"2,8",",4",,A001,BRASILIA,2015,,,
2015-01-03,02:00,0,"887,8","888,1","887,8",,"21,6","17,3","21,8","20,7","17,4","16,8",80.0,74.0,76.0,191.0,"2,4","1,4",,A001,BRASILIA,2015,,,
2015-01-03,03:00,0,"887,3","887,8","887,2",,"21,1",17,"21,6","20,1","17,5","16,7",82.0,76.0,77.0,215.0,"3,1","1,5",,A001,BRASILIA,2015,,,
2015-01-03,04:00,0,"886,5","887,3","886,5",,"19,7","16,8","21,1","19,5","17,1","16,6",84.0,77.0,84.0,16.0,"3,1","1,1",,A001,BRASILIA,2015,,,
2015-01-03,05:00,0,886,"886,5",886,,"19,6","17,8","19,7","18,9","18,4","16,8",94.0,84.0,89.0,184.0,"1,8",",8",,A001,BRASILIA,2015,,,
2015-01-03,06:00,0,"885,9",886,"885,8",,"20,2","18,6","20,2","19,1","18,6",17,92.0,86.0,91.0,210.0,"3,9","1,8",,A001,BRASILIA,2015,,,
2015-01-03,07:00,0,"885,8","885,9","885,8",,"19,5","16,5","20,7","19,4","18,5","16,5",91.0,81.0,83.0,189.0,"3,9",1,,A001,BRASILIA,2015,,,
2015-01-03,08:00,0,"886,1","886,1","885,7",,"19,4","16,7","19,6","18,8","17,8","16,4",91.0,83.0,84.0,214.0,"2,5","1,7",,A001,BRASILIA,2015,,,
2015-01-03,09:00,0,"886,9","886,9","886,1","3,6","20,7","16,6",21,"19,4",17,"16,4",84.0,77.0,78.0,171.0,"2,8","1,5",,A001,BRASILIA,2015,,,
2015-01-03,10:00,0,"887,5","887,5","886,9","321,2","22,5","16,9","22,5","20,7",17,"16,6",78.0,70.0,71.0,168.0,"3,4","1,5",,A001,BRASILIA,2015,,,
2015-01-03,11:00,0,"887,4","887,5","887,2","1232,9","24,6","17,1","24,8","22,5","17,6","16,7",71.0,62.0,63.0,156.0,"4,8","2,7",,A001,BRASILIA,2015,,,
2015-01-03,12:00,0,"887,6","887,8","887,4","2023,9","26,2","17,7","26,3","24,6","18,1","16,8",64.0,59.0,60.0,161.0,"7,2",3,,A001,BRASILIA,2015,,,
2015-01-03,13:00,0,"887,7","887,8","887,6","2511,4",27,"16,3","27,8","26,2","18,2","15,3",60.0,48.0,52.0,138.0,"6,5","3,6",,A001,BRASILIA,2015,,,
2015-01-03,14:00,0,"887,6","887,8","887,5","3457,6","28,2","17,4","28,2","26,7","17,8","15,8",55.0,49.0,52.0,146.0,"6,4","2,6",,A001,BRASILIA,2015,,,
2015-01-03,15:00,0,"887,1","887,6","887,1","3695,2","28,4","16,6","29,6","27,5","18,3","14,4",55.0,41.0,49.0,145.0,"7,3","3,8",,A001,BRASILIA,2015,,,
2015-01-03,16:00,0,"886,7","887,1","886,7","3853,9","29,1","16,8","30,5","28,1","18,8","16,2",54.0,45.0,48.0,136.0,"7,1","2,9",,A001,BRASILIA,2015,,,
2015-01-03,17:00,0,"885,9","886,7","885,4","3218,4","29,2","15,2","30,1","28,5","18,5","15,2",52.0,42.0,43.0,177.0,"7,7","2,5",,A001,BRASILIA,2015,,,
2015-01-03,18:00,"3,4","885,4","885,9","885,3","345,8",21,"16,5","29,2",20,"17,6","14,9",81.0,42.0,75.0,195.0,"10,6","2,4",,A001,BRASILIA,2015,,,
2015-01-03,19:00,0,"884,3","885,6","883,9","231,9","22,1","17,8","22,2","21,1","17,8","15,1",77.0,66.0,77.0,133.0,6,"2,6",,A001,BRASILIA,2015,,,
2015-01-03,20:00,0,"884,6","884,8",884,"367,8","22,2",18,"22,5","21,9","18,7","17,8",80.0,75.0,77.0,287.0,"4,9","2,1",,A001,BRASILIA,2015,,,
